Parameter,Value,Unit
Specimen ID,Example-01,
Asphalt Mixture Type,Example Mix,
Specimen Type,LMLC,
Diameter,150,mm
Thickness,62.335,mm
NMAS,12.5,mm
Air Voids,7.0,%
Test Temperature,-10,deg C
Aging Condition,Short-term aged,

Time (sec),Load (kN),Displacement (mm)
sec,kN,mm
0.001,0.169,-0.037
0.025,0.242,-0.032
0.05,0.713,-0.002
0.075,0.965,0.014
0.1,1.472,0.036
0.125,1.833,0.056
0.15,2.298,0.077
0.175,2.667,0.097
0.2,3.157,0.119
0.225,3.51,0.139
0.25,3.965,0.161
0.275,4.276,0.18
0.3,4.742,0.202
0.325,5.049,0.222
0.35,5.506,0.245
0.375,5.77,0.263
0.4,6.25,0.286
0.425,6.485,0.305
0.45,6.92,0.327
0.475,7.167,0.347
0.5,7.565,0.369
0.525,7.808,0.388
0.55,8.218,0.41
0.575,8.442,0.431
0.6,8.795,0.452
0.625,8.989,0.471
0.65,9.394,0.495
0.675,9.534,0.512
0.7,9.934,0.535
0.725,10.076,0.554
0.75,10.418,0.577
0.775,10.581,0.596
0.8,10.921,0.618
0.825,11.064,0.638
0.85,11.377,0.66
0.875,11.504,0.679
0.9,11.827,0.701
0.925,11.945,0.721
0.95,12.227,0.743
0.975,12.346,0.762
1,12.636,0.784
1.025,12.719,0.804
1.05,12.999,0.825
1.075,13.112,0.846
1.1,13.318,0.868
1.125,13.39,0.887
1.15,13.664,0.91
1.175,13.698,0.929
1.2,13.95,0.951
1.225,13.995,0.97
1.25,14.274,0.993
1.275,14.295,1.011
1.3,14.563,1.035
1.325,14.578,1.053
1.35,14.835,1.077
1.375,14.837,1.095
1.4,15.083,1.117
1.425,15.102,1.137
1.45,15.334,1.159
1.475,15.347,1.178
1.5,15.555,1.2
1.525,15.585,1.219
1.55,15.779,1.242
1.575,15.798,1.262
1.6,15.985,1.285
1.625,15.984,1.303
1.65,16.167,1.326
1.675,16.174,1.344
1.7,16.364,1.367
1.725,16.374,1.386
1.75,16.535,1.409
1.775,16.539,1.428
1.8,16.701,1.45
1.825,16.688,1.47
1.85,16.838,1.492
1.875,16.839,1.512
1.9,16.977,1.534
1.925,16.954,1.553
1.95,17.107,1.576
1.975,17.072,1.595
2,17.206,1.617
2.025,17.185,1.636
2.05,17.346,1.659
2.075,17.287,1.678
2.1,17.421,1.7
2.125,17.393,1.72
2.15,17.518,1.742
2.175,17.493,1.761
2.2,17.628,1.785
2.225,17.558,1.802
2.25,17.719,1.826
2.275,17.633,1.845
2.3,17.758,1.866
2.325,17.744,1.887
2.35,17.819,1.908
2.375,17.794,1.928
2.4,17.911,1.95
2.425,17.829,1.97
2.45,17.939,1.992
2.475,17.864,2.012
2.5,17.97,2.034
2.525,17.898,2.054
2.55,18.003,2.076
2.575,17.933,2.094
2.6,18.029,2.117
2.625,17.927,2.136
2.65,18.056,2.158
2.675,18,2.179
2.7,18.059,2.2
2.725,17.986,2.219
2.75,18.095,2.243
2.775,17.998,2.261
